"EventCode","EVENTDESCRIPTION","Month","Year","Actor1Code","Actor2Code","EventBaseCode","EventRootCode","QuadClass","NumMentions","Actor1Geo_Type","Actor1Geo_CountryCode","Actor2Geo_CountryCode","ActionGeo_Type","Region","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID"
"130.0","Threaten, not specified below","8.0","2018.0","MED","SAU","130.0","13.0","3.0","5.0","1.0","IR","SA","5.0","Ash Sharqiyah","22.5","51.0","-3093178"
"130.0","Threaten, not specified below","8.0","2018.0","IRN","SAUGOV","130.0","13.0","3.0","2.0","5.0","SA","SA","5.0","Ash Sharqiyah","22.5","51.0","-3093178"
"130.0","Threaten, not specified below","8.0","2018.0","IRN","SAU","130.0","13.0","3.0","7.0","1.0","IR","SA","5.0","Ash Sharqiyah","22.5","51.0","-3093178"
"130.0","Threaten, not specified below","8.0","2018.0","IRN","SAUGOV","130.0","13.0","3.0","6.0","1.0","IR","SA","5.0","Ash Sharqiyah","22.5","51.0","-3093178"
"130.0","Threaten, not specified below","8.0","2018.0","GOV","OPP","130.0","13.0","3.0","14.0","5.0","SA","SA","5.0","Ash Sharqiyah","22.5","51.0","-3093178"
"130.0","Threaten, not specified below","8.0","2018.0","GOV","OPP","130.0","13.0","3.0","6.0","1.0","UK","SA","5.0","Ash Sharqiyah","22.5","51.0","-3093178"
"130.0","Threaten, not specified below","8.0","2018.0","NGOHRI","SAU","130.0","13.0","3.0","20.0","5.0","SA","SA","5.0","Ash Sharqiyah","22.5","51.0","-3093178"
"130.0","Threaten, not specified below","8.0","2018.0","GOV","OPP","130.0","13.0","3.0","30.0","5.0","SA","SA","5.0","Ash Sharqiyah","22.5","51.0","-3093178"
"130.0","Threaten, not specified below","6.0","2018.0","EGY","IGOMEAARL","130.0","13.0","3.0","2.0","5.0","SA","SA","5.0","Ash Sharqiyah","22.5","51.0","-3093178"
"130.0","Threaten, not specified below","1.0","2018.0","MOS","1","130.0","13.0","3.0","2.0","4.0","SA","1","4.0","Madinah","25.5","38.7","-3095129"
"130.0","Threaten, not specified below","6.0","2018.0","GOV","OPP","130.0","13.0","3.0","7.0","4.0","SA","SA","4.0","Asir","19.9","42.5","-3095512"
"130.0","Threaten, not specified below","6.0","2018.0","GOV","OPP","130.0","13.0","3.0","7.0","4.0","SA","SA","4.0","Asir","19.9","42.5","-3095512"
"130.0","Threaten, not specified below","3.0","2018.0","MIL","1","130.0","13.0","3.0","10.0","4.0","SA","1","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","5.0","2018.0","SAU","MOS","130.0","13.0","3.0","4.0","4.0","SA","SA","4.0","Asir","19.1","42.7","-3095997"
"130.0","Threaten, not specified below","4.0","2018.0","1","SAU","130.0","13.0","3.0","30.0","0.0","1","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","4.0","2018.0","SAU","GOV","130.0","13.0","3.0","22.0","4.0","SA","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","2.0","2018.0","EDU","SAU","130.0","13.0","3.0","30.0","4.0","SA","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","3.0","2018.0","GOV","IRN","130.0","13.0","3.0","4.0","4.0","SA","IR","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","3.0","2018.0","SAU","CVL","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","3.0","2018.0","YEM","SAU","130.0","13.0","3.0","4.0","1.0","YM","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","4.0","2018.0","1","SAU","130.0","13.0","3.0","11.0","0.0","1","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","3.0","2018.0","REF","SAU","130.0","13.0","3.0","2.0","1.0","EG","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","3.0","2018.0","REF","SAU","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","3.0","2018.0","REF","SAU","130.0","13.0","3.0","2.0","1.0","EG","SA","4.0","Jizan","16.9","42.6","-3096152"
